Date,Average Cost,
2011.12.27,48.01,
2011.12.28,74.47,
2011.12.29,47.07,
2011.12.30,39.07,
2011.12.31,42.81,
2012.01.01,18.95,
2012.01.02,36.07,
2012.01.03,59.19,
2012.01.04,44.47,
2012.01.05,44.50,
2012.01.06,34.44,
2012.01.07,71.99,
2012.01.08,54.87,
2012.01.09,52.42,
2012.01.10,52.53,
2012.01.11,47.64,
2012.01.12,74.70,
2012.01.13,51.12,
2012.01.14,44.59,
2012.01.15,45.67,
2012.01.16,53.33,
2012.01.17,59.30,
2012.01.18,76.92,
2012.01.19,65.42,
2012.01.20,73.01,
2012.01.21,55.67,
2012.01.22,49.48,
2012.01.23,53.37,
2012.01.24,100.08,
2012.01.25,53.80,
2012.01.26,78.63,
2012.01.27,64.95,
2012.01.28,56.30,
2012.01.29,47.71,
2012.01.30,51.29,
2012.01.31,65.51,
2012.02.01,52.02,
2012.02.02,59.62,
2012.02.03,68.44,
2012.02.04,80.58,
2012.02.05,53.74,
2012.02.06,74.11,
2012.02.07,77.52,
2012.02.08,96.77,
2012.02.09,90.64,
2012.02.10,91.33,
2012.02.11,109.92,
2012.02.12,90.40,
2012.02.13,89.21,
2012.02.14,100.28,
2012.02.15,79.17,
2012.02.16,145.05,
2012.02.17,64.30,
2012.02.18,53.50,
2012.02.19,56.02,
2012.02.20,86.03,
2012.02.21,72.10,
2012.02.22,76.51,
2012.02.23,98.84,
2012.02.24,49.75,
2012.02.25,73.74,
2012.02.26,53.82,
2012.02.27,51.89,
2012.02.28,46.41,
2012.02.29,57.96,
2012.03.01,49.04,
2012.03.02,52.17,
2012.03.03,48.10,
2012.03.04,37.90,
2012.03.05,49.33,
2012.03.06,64.71,
2012.03.07,73.05,
2012.03.08,69.95,
2012.03.09,60.86,
2012.03.10,58.80,
2012.03.11,43.07,
2012.03.12,49.88,
2012.03.13,56.26,
2012.03.14,60.20,
2012.03.15,46.05,
2012.03.16,48.78,
2012.03.17,38.41,
2012.03.18,34.07,
2012.03.19,43.05,
2012.03.20,46.87,
2012.03.21,45.48,
2012.03.22,45.18,
2012.03.23,43.55,
2012.03.24,39.53,
2012.03.25,26.73,
2012.03.26,43.72,
2012.03.27,56.81,
2012.03.28,38.40,
2012.03.29,49.15,
2012.03.30,51.84,
2012.03.31,27.66,
2012.04.01,80.65,
2012.04.02,69.82,
2012.04.03,53.12,
2012.04.04,70.82,
2012.04.05,56.35,
2012.04.06,61.03,
2012.04.07,35.25,
2012.04.08,23.65,
2012.04.09,19.95,
2012.04.10,64.74,
2012.04.11,83.36,
2012.04.12,59.06,
2012.04.13,50.38,
2012.04.14,49.40,
2012.04.15,33.00,
2012.04.16,47.71,
2012.04.17,99.42,
2012.04.18,52.16,
2012.04.19,52.20,
2012.04.20,56.56,
2012.04.21,45.28,
2012.04.22,37.47,
2012.04.23,55.13,
2012.04.24,53.30,
2012.04.25,44.33,
2012.04.26,44.21,
2012.04.27,43.23,
2012.04.28,38.65,
2012.04.29,25.61,
2012.04.30,36.66,
2012.05.01,26.69,
2012.05.02,47.37,
2012.05.03,51.80,
2012.05.04,45.76,
2012.05.05,38.01,
2012.05.06,31.28,
2012.05.07,46.56,
2012.05.08,41.79,
